finding,feature_set,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,num_seeds,current_macro_f1_mean,current_balanced_accuracy_mean,delta_macro_f1_vs_current,delta_balanced_accuracy_vs_current,wins_vs_current,num_seed_comparisons
consolidation,current,0.2815189345795596,0.051165240672323566,0.3652901759917218,0.13453817392302128,5,0.2815189345795596,0.3652901759917218,0.0,0.0,0,5
consolidation,current_delta,0.29504026023450347,0.01485110711152145,0.3703478460614119,0.02885912404294088,5,0.2815189345795596,0.3652901759917218,0.01352132565494385,0.005057670069690101,3,5
consolidation,delta,0.2027065632800201,0.021018854999465725,0.2722936415534502,0.014986290304875362,5,0.2815189345795596,0.3652901759917218,-0.07881237129953952,-0.0929965344382716,1,5
consolidation,full,0.3000410371205834,0.02716868644912685,0.35543614526466943,0.05269735363416716,5,0.2815189345795596,0.3652901759917218,0.018522102541023766,-0.009854030727052376,3,5
consolidation,prior_current,0.28722599859310016,0.04451726042220253,0.35120305536839924,0.08600293487012586,5,0.2815189345795596,0.3652901759917218,0.0057070640135405415,-0.014087120623322569,3,5
consolidation,prior_current_delta,0.2841385934481868,0.02976396455430066,0.3245167125230716,0.0575008575103244,5,0.2815189345795596,0.3652901759917218,0.002619658868627195,-0.040773463468650184,2,5
edema,abs_delta,0.2286159052956703,0.022072829136044476,0.25497072439545165,0.06828985886019441,5,0.24258885639203723,0.358939279581942,-0.013972951096366926,-0.10396855518649034,3,5
edema,current,0.24258885639203723,0.035758671037252436,0.358939279581942,0.15868050818013368,5,0.24258885639203723,0.358939279581942,0.0,0.0,0,5
edema,current_delta,0.2580978785376126,0.05848484811659602,0.36188160791206075,0.19504546041124732,5,0.24258885639203723,0.358939279581942,0.015509022145575396,0.0029423283301187597,3,5
edema,delta,0.2053853348648941,0.0445373988469491,0.2696424764093127,0.13736210386321251,5,0.24258885639203723,0.358939279581942,-0.037203521527143124,-0.08929680317262928,1,5
edema,full,0.25082970666916304,0.03100539129091758,0.31749295797516563,0.09683731046003036,5,0.24258885639203723,0.358939279581942,0.008240850277125816,-0.04144632160677636,3,5
edema,prior_current,0.26287864674772277,0.039405898956458095,0.4060355972795926,0.14386578595926536,5,0.24258885639203723,0.358939279581942,0.02028979035568554,0.0470963176976506,4,5
edema,prior_current_delta,0.25239922369128126,0.05056096545732307,0.33481125711372023,0.1675850223554842,5,0.24258885639203723,0.358939279581942,0.009810367299244033,-0.024128022468221766,3,5
pleural_effusion,abs_delta,0.21677616296279512,0.03185742343206564,0.2248815893869976,0.04071791826731041,5,0.32054595323243357,0.3764068990315884,-0.10376979026963845,-0.15152530964459082,0,5
pleural_effusion,current,0.32054595323243357,0.04315012536656898,0.3764068990315884,0.057897772162504,5,0.32054595323243357,0.3764068990315884,0.0,0.0,0,5
pleural_effusion,current_delta,0.3355764023269929,0.01995171448302412,0.3853287826305792,0.051849132340713464,5,0.32054595323243357,0.3764068990315884,0.015030449094559306,0.008921883598990765,3,5
pleural_effusion,delta,0.17784861465612495,0.017733954933178506,0.27876386990706054,0.053347288333509824,5,0.32054595323243357,0.3764068990315884,-0.14269733857630862,-0.09764302912452788,0,5
pleural_effusion,full,0.3297916259348831,0.015529738962740238,0.3734847260789773,0.03548913506109112,5,0.32054595323243357,0.3764068990315884,0.009245672702449526,-0.0029221729526111018,2,5
pleural_effusion,prior_current,0.3335663091703241,0.03470378149566852,0.3812471768080516,0.06443813303668491,5,0.32054595323243357,0.3764068990315884,0.013020355937890526,0.0048402777764631755,3,5
pleural_effusion,prior_current_delta,0.33824002338947745,0.02701609529874711,0.39149802098210407,0.04836977704929561,5,0.32054595323243357,0.3764068990315884,0.017694070157043884,0.015091121950515651,2,5
