policy,threshold,coverage_mean,coverage_std,selective_accuracy_mean,selective_accuracy_std,selective_macro_f1_mean,selective_macro_f1_std,error_rate_mean,error_rate_std,review_rate_mean,new_recall_mean,persistent_recall_mean,resolved_recall_mean,absent_recall_mean
confidence_margin,0.75,0.88909178187404,0.020338588879933454,0.7923961774639903,0.01375092063641829,0.34192153533005165,0.05065655736754198,0.20760382253600973,0.013750920636418279,0.32017089093701995,0.18619047619047618,0.07651515151515151,0.13773809523809524,0.9355346330458165
confidence_margin,0.8,0.8658333333333333,0.03236027371514382,0.8050181333755102,0.008262520609114506,0.33930448271506813,0.04774583191358757,0.1949818666244897,0.008262520609114506,0.33126344086021503,0.19228937728937728,0.04318181818181818,0.14871794871794872,0.9409845610419347
low_confidence_only,0.55,0.9656470814132104,0.017055880516471944,0.773552149758812,0.014401240196916285,0.36523977923484024,0.03263572560478847,0.2264478502411879,0.014401240196916298,0.2842434715821812,0.17305555555555557,0.12493506493506494,0.20430306535569692,0.9149770768368235
low_confidence_only,0.6,0.9472350230414748,0.01642260800111101,0.7788955269551481,0.016754239181450737,0.3615091966183252,0.052939376101059914,0.22110447304485187,0.01675423918145073,0.29066820276497696,0.17305555555555557,0.10897546897546898,0.19521367521367522,0.9229380963715641
low_confidence_only,0.65,0.9316205837173579,0.014905487429570468,0.7811735034785992,0.017843889813624298,0.359711354037074,0.05029229514876419,0.21882649652140085,0.017843889813624295,0.2970622119815668,0.18331196581196582,0.10897546897546898,0.1719607843137255,0.9267030968828166
low_confidence_only,0.7,0.9113383256528419,0.014656352842061652,0.7874095947407901,0.015442669010537383,0.36052911205007543,0.050700771079086535,0.21259040525920989,0.01544266901053738,0.30806451612903224,0.17692307692307693,0.11175324675324676,0.16312330600256297,0.932891250207813
low_confidence_only,0.75,0.88909178187404,0.020338588879933454,0.7923961774639903,0.01375092063641829,0.34192153533005165,0.05065655736754198,0.20760382253600973,0.013750920636418279,0.32017089093701995,0.18619047619047618,0.07651515151515151,0.13773809523809524,0.9355346330458165
low_confidence_only,0.8,0.8658333333333333,0.03236027371514382,0.8050181333755102,0.008262520609114506,0.33930448271506813,0.04774583191358757,0.1949818666244897,0.008262520609114506,0.33126344086021503,0.19228937728937728,0.04318181818181818,0.14871794871794872,0.9409845610419347
strict,0.55,0.7157565284178188,0.04079706657906575,0.8650116668581809,0.013008551943258267,0.2754592125651846,0.043278878403380926,0.13498833314181904,0.013008551943258307,0.2842434715821812,0.095,0.0,0.025,0.9885547520199991
strict,0.6,0.709331797235023,0.038304502566402894,0.865077150239941,0.012163860455020699,0.2754833530298534,0.04342561301318485,0.13492284976005905,0.012163860455020695,0.29066820276497696,0.095,0.0,0.025,0.9884352866900075
strict,0.65,0.7029377880184332,0.03838519677364264,0.8649702078352746,0.012587456757285448,0.2762374138228227,0.04345283025510452,0.13502979216472535,0.01258745675728543,0.2970622119815668,0.09857142857142857,0.0,0.025,0.9883160786137374
strict,0.7,0.6919354838709678,0.04276351201209274,0.8668268863362032,0.011315736706950503,0.25922499578655855,0.03905143661636422,0.13317311366379686,0.011315736706950505,0.30806451612903224,0.07857142857142857,0.0,0.0,0.9882022075377558
strict,0.75,0.67982910906298,0.046321153948517116,0.8714433274979116,0.011553650162853285,0.26217284821231657,0.04258771292151153,0.1285566725020884,0.011553650162853304,0.32017089093701995,0.09047619047619046,0.0,0.0,0.9881300921531404
strict,0.8,0.6687365591397849,0.0539201284072196,0.882373988761089,0.01729016451136645,0.264663486144443,0.04287196055061883,0.11762601123891112,0.017290164511366495,0.33126344086021503,0.09047619047619046,0.0,0.0,0.9894477739726029
