seed,policy,threshold,coverage,abstention_rate,selective_accuracy,selective_macro_f1,error_rate_on_covered,review_rate,absent_recall,new_recall,persistent_recall,resolved_recall
42,change_sensitive,0.75,0.8202764976958525,0.17972350230414746,0.7640449438202247,0.4080348717026918,0.2359550561797753,0.31797235023041476,0.8881118881118881,0.21428571428571427,0.25,0.29411764705882354
42,change_sensitive,0.8,0.8064516129032258,0.1935483870967742,0.7714285714285715,0.41623245175876755,0.22857142857142854,0.3317972350230415,0.8873239436619719,0.21428571428571427,0.25,0.3333333333333333
42,low_confidence_only,0.55,0.9493087557603687,0.05069124423963134,0.7766990291262136,0.3983614441059129,0.22330097087378642,0.3087557603686636,0.9156626506024096,0.1875,0.2,0.21052631578947367
42,low_confidence_only,0.6,0.9308755760368663,0.06912442396313365,0.7920792079207921,0.4165529765019561,0.20792079207920788,0.3087557603686636,0.9325153374233128,0.1875,0.2,0.2222222222222222
42,low_confidence_only,0.65,0.9124423963133641,0.08755760368663594,0.7929292929292929,0.41137761810838736,0.20707070707070707,0.31336405529953915,0.9375,0.1875,0.2,0.17647058823529413
42,low_confidence_only,0.7,0.8940092165898618,0.10599078341013825,0.7989690721649485,0.4195249195249195,0.2010309278350515,0.31797235023041476,0.9426751592356688,0.2,0.2,0.17647058823529413
42,low_confidence_only,0.75,0.8755760368663594,0.12442396313364056,0.8,0.3099956386632503,0.19999999999999996,0.31797235023041476,0.9487179487179487,0.2,0.0,0.06666666666666667
42,low_confidence_only,0.8,0.8617511520737328,0.1382488479262673,0.8074866310160428,0.31511100687929955,0.1925133689839572,0.3317972350230415,0.9483870967741935,0.2,0.0,0.07692307692307693
84,strict,0.55,0.7767857142857143,0.22321428571428573,0.8620689655172413,0.2737538940809969,0.13793103448275867,0.22321428571428573,0.9802631578947368,0.125,0.0,0.0
84,strict,0.6,0.7678571428571429,0.23214285714285715,0.8604651162790697,0.27352786540483703,0.13953488372093026,0.23214285714285715,0.98,0.125,0.0,0.0
84,strict,0.65,0.7589285714285714,0.24107142857142858,0.8647058823529412,0.2779386218876665,0.1352941176470588,0.24107142857142858,0.9798657718120806,0.14285714285714285,0.0,0.0
84,strict,0.7,0.75,0.25,0.8630952380952381,0.2777126099706745,0.13690476190476186,0.25,0.9795918367346939,0.14285714285714285,0.0,0.0
84,strict,0.75,0.7455357142857143,0.2544642857142857,0.8682634730538922,0.2830097087378641,0.13173652694610782,0.2544642857142857,0.9795918367346939,0.16666666666666666,0.0,0.0
84,strict,0.8,0.7410714285714286,0.25892857142857145,0.8734939759036144,0.2893217893217893,0.12650602409638556,0.25892857142857145,0.9863013698630136,0.16666666666666666,0.0,0.0
84,confidence_margin,0.55,0.9866071428571429,0.013392857142857142,0.7963800904977375,0.3882857142857143,0.2036199095022625,0.22321428571428573,0.9230769230769231,0.3333333333333333,0.09090909090909091,0.15384615384615385
84,confidence_margin,0.6,0.9642857142857143,0.03571428571428571,0.8009259259259259,0.39476918530052046,0.19907407407407407,0.23214285714285715,0.9322033898305084,0.3333333333333333,0.09090909090909091,0.15384615384615385
84,confidence_margin,0.65,0.9464285714285714,0.05357142857142857,0.8066037735849056,0.38479853479853476,0.19339622641509435,0.24107142857142858,0.9318181818181818,0.38461538461538464,0.09090909090909091,0.08333333333333333
84,confidence_margin,0.7,0.9330357142857143,0.06696428571428571,0.8086124401913876,0.3878978032181375,0.19138755980861244,0.25,0.9364161849710982,0.38461538461538464,0.09090909090909091,0.08333333333333333
84,confidence_margin,0.75,0.9241071428571429,0.07589285714285714,0.8115942028985508,0.3925613244433469,0.18840579710144922,0.2544642857142857,0.936046511627907,0.4166666666666667,0.09090909090909091,0.08333333333333333
84,confidence_margin,0.8,0.9196428571428571,0.08035714285714286,0.8155339805825242,0.3977272778252571,0.18446601941747576,0.25892857142857145,0.9415204678362573,0.4166666666666667,0.09090909090909091,0.08333333333333333
84,change_sensitive,0.55,0.8794642857142857,0.12053571428571429,0.7969543147208121,0.4017202676841231,0.20304568527918787,0.22321428571428573,0.9141104294478528,0.38461538461538464,0.1,0.18181818181818182
84,change_sensitive,0.6,0.8705357142857143,0.12946428571428573,0.7948717948717948,0.4014080431763359,0.20512820512820518,0.23214285714285715,0.9130434782608695,0.38461538461538464,0.1,0.18181818181818182
84,change_sensitive,0.65,0.8616071428571429,0.13839285714285715,0.7979274611398963,0.4057842157842158,0.20207253886010368,0.24107142857142858,0.9125,0.4166666666666667,0.1,0.18181818181818182
84,change_sensitive,0.7,0.8526785714285714,0.14732142857142858,0.7958115183246073,0.4054678965893919,0.20418848167539272,0.25,0.9113924050632911,0.4166666666666667,0.1,0.18181818181818182
84,change_sensitive,0.75,0.8482142857142857,0.15178571428571427,0.8,0.41033549783549783,0.19999999999999996,0.2544642857142857,0.9113924050632911,0.45454545454545453,0.1,0.18181818181818182
84,change_sensitive,0.8,0.8482142857142857,0.15178571428571427,0.8,0.41033549783549783,0.19999999999999996,0.25892857142857145,0.9113924050632911,0.45454545454545453,0.1,0.18181818181818182
84,low_confidence_only,0.55,0.9866071428571429,0.013392857142857142,0.7963800904977375,0.3882857142857143,0.2036199095022625,0.22321428571428573,0.9230769230769231,0.3333333333333333,0.09090909090909091,0.15384615384615385
84,low_confidence_only,0.6,0.9642857142857143,0.03571428571428571,0.8009259259259259,0.39476918530052046,0.19907407407407407,0.23214285714285715,0.9322033898305084,0.3333333333333333,0.09090909090909091,0.15384615384615385
84,low_confidence_only,0.65,0.9464285714285714,0.05357142857142857,0.8066037735849056,0.38479853479853476,0.19339622641509435,0.24107142857142858,0.9318181818181818,0.38461538461538464,0.09090909090909091,0.08333333333333333
84,low_confidence_only,0.7,0.9330357142857143,0.06696428571428571,0.8086124401913876,0.3878978032181375,0.19138755980861244,0.25,0.9364161849710982,0.38461538461538464,0.09090909090909091,0.08333333333333333
84,low_confidence_only,0.75,0.9241071428571429,0.07589285714285714,0.8115942028985508,0.3925613244433469,0.18840579710144922,0.2544642857142857,0.936046511627907,0.4166666666666667,0.09090909090909091,0.08333333333333333
